State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ABIA,ABA NORTH,EZIAMA,01-01-01-003,RAILWAY QUARTERS - RAILWAY QUARTERS IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,EZIAMA,01-01-01-005,ABIA POLY  - ABIA POLY II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,EZIAMA,01-01-01-005,ABIA POLY  - ABIA POLY III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,EZIAMA,01-01-01-005,ABIA POLY  - ABIA POLY IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,EZIAMA,01-01-01-005,ABIA POLY  - ABIA POLY V,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,EZIAMA,01-01-01-005,ABIA POLY - ABIA POLY VI,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,EZIAMA,01-01-01-005,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,EZIAMA,01-01-01-005,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OSUSU II,01-01-04-007,BRIGHT WAY NURS. SCHOOL  - SCHOOL PREMISES I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OSUSU II,01-01-04-016,POPE JOHN PAUL COLLEGE-SCHOOL PREMISES II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,URATTA,01-01-06-005,URATTA COUNCIL HALL  - HALL PREMISES VI,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,URATTA,01-01-06-008,URATTA COUNCIL HALL  - HALL PREMISES IX,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,URATTA,01-01-06-018,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-001,GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-001,GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-004,GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES V,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-007,GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES VIII,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-007,GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES IX,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-011,SPORTS CLUB-GOVERNOR'S LODGE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-011,SPORTS CLUB-GOVERNOR'S LODGE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-023,WATER TANK WATER TANK PREMISES VIII,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-016,OLD INTERNAL REVENUE-PREMISES IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-020,ROCK HOUSE PRIM./NURS.SCHOOL ABA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-020,ROCK HOUSE PRIM./NURS.SCHOOL ABA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-020,ROCK HOUSE PRIM./NURS.SCHOOL ABA III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-024,FIRE SERVICE STATION PREMISES II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-024,EZIOBU PRIM SCHOOL PREMISES I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-029,EZIOBU PRIM SCHOOL  - SCHOOL PREMISES V,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-029,EZIOBU PRIM SCHOOL  - SCHOOL PREMISES VI,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-033,OSUSU VILLAGE HALL - COUNCIL HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-033,OSUSU VILLAGE HALL - COUNCIL HALL III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-036,OSUSU VILLAGE HALL - COUNCIL V,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-036,OSUSU VILLAGE HALL - COUNCIL HALL VI,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-040,HOLY GHOST COMM.SCHOOL  - SCHOOL PREMISES III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-042,HOLY GHOST COMM.SCHOOL  - SCHOOL PREMISES V,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-042,SACRED HEART COLLEGE-SCHOOL PREMISES I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-042,SACRED HEART COLLEGE-SCHOOL PREMISES II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-042,SACRED HEART COLLEGE-SCHOOL PREMISES III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-047,SACRED HEART COLLEGE-SCHOOL PREMISES V,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR I,01-01-10-005,OGBOR HILL HALL  - COUNCIL HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR I,01-01-10-009,OGBOR HILL HALL  - COUNCIL HALL V,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR I,01-01-10-009,HIS STEPS PRIM.SCHOOL  - SCHOOL PREMISES I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR I,01-01-10-012,HIS STEPS PRIM.SCHOOL  - SCHOOL PREMISES III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR I,01-01-10-014,NEW UMUAHIA RD.PRIM.SCHOOL  - SCHOOL PREMISES I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR I,01-01-10-020,MERCY GIRLS SEC.SCHOOL  - SCHOOL PREMISES II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR I,01-01-10-023,MERCY GIRLS SEC.SCHOOL  - SCHOOL PREMISES V,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR I,01-01-10-026,MERCY GIRLS SEC.SCHOOL  - SCHOOL PREMISES VIII,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-002,OGBOR HILL PRIM. SCHOOL - SCHOOL PREMISES III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-006,GIRLS HIGH SCHOOL  - SCHOOL PREMISES I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-008,GIRLS HIGH SCHOOL  - SCHOOL PREMISES III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-010,GIRLS HIGH SCHOOL  - SCHOOL PREMISES V,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-012,ROYAL COMM. SCHOOL  - SCHOOL PREMISES I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-012,ROYAL COMM. SCHOOL  - SCHOOL PREMISES II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-012,ROYAL COMM. SCHOOL  - SCHOOL PREMISES III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-012,ROYAL COMM. SCHOOL  - SCHOOL PREMISES IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-017,ROYAL COMM. SCHOOL  - SCHOOL PREMISES VI,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-017,ROYAL COMM. SCHOOL  - SCHOOL PREMISES VII,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-017,ROYAL COMM. SCHOOL  - SCHOOL PREMISES VIII,0,0,0,0,1,0,1,1,0,0,0,0,0,
ABIA,ABA NORTH,OGBOR II,01-01-11-017,ROYAL COMM. SCHOOL  - SCHOOL PREMISES IX,0,0,0,0,1,0,1,1,0,0,0,0,0,
