State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ABIA,ABA NORTH,EZIAMA,01-01-01-013,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL III,135,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,2,1000,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/013/013-1677398317.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-014,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL IV,111,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1177,7,17,1014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/20/20-1677513408.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-015,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL V,202,988,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,131,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/21/21-1677513821.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-016,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL I,131,808,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1466,16,70,776,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/016/016-1677395768.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-017,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL II,125,695,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1438,14,48,993,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/017/017-1677395231.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-018,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL III,126,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,2,1000,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/018/018-1677394383.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-019,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL IV,90,408,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1267,12,69,512,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/019/019-1677392483.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-020,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL V,130,762,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1117,4,17,1038,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/020/020-1677394909.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-021,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL VI,113,693,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1303,6,48,421,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/021/021-1677393731.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-022,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL VII,128,709,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1252,11,45,1488,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/022/022-1677398617.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-023,EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL VIII,133,698,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,2,1000,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/023/023-1677395988.pdf
ABIA,ABA NORTH,INDUSTRIAL AREA,01-01-02-001,NGWA CULTURAL HALL - NGWA CULTURAL HALL I,113,708,TRUE,0,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17527/pu/30/30-1677609603.pdf
ABIA,ABA NORTH,INDUSTRIAL AREA,01-01-02-002,NGWA CULTURAL HALL - NGWA CULTURAL HALL II,128,875,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,45,0,180,9,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/002/002-1677422864.pdf
ABIA,ABA NORTH,INDUSTRIAL AREA,01-01-02-003,NGWA CULTURAL HALL- NGWA CULTURAL HALL III,149,916,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,121,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/003/003-1677384922.pdf
