name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeedmax,windspeedmin,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
Lagos,2012-01-01,33.3,24,27.8,37.8,24,30.1,23.6,79.4,0,0,0,,20.5,13,1.9,1013.1,50,5.8,,,,
Lagos,2012-01-02,33.1,24,27.5,39.2,24,29.3,23.8,82.2,0,0,0,,16.6,14.8,0,1013.7,57.4,6.9,,,,
Lagos,2012-01-03,33.7,22,26.8,36.8,22,27.8,22.3,79.5,0,0,0,,20.5,16.6,0.1,1013,37.9,5,,,,
Lagos,2012-01-04,34,23.1,27.4,34.3,23.1,27.8,20.4,70.5,0,0,0,,,18.4,2.1,1013.1,17.1,3.3,,,,
Lagos,2012-01-05,32.3,21,25.8,33.8,21,26.4,20.6,75.8,0,0,0,,,12.7,0,1013.3,14.3,2.8,,,,
Lagos,2012-01-06,33.6,22,26.3,34.4,22,26.7,20.6,74.7,0,0,0,,,14.8,0,1013.2,15.1,2.9,,,,
Lagos,2012-01-07,35,22,26.2,32.7,22,26.5,19.5,72.7,0,0,0,,,13,0,1012.5,14.5,3.4,,,,
Lagos,2012-01-08,32.1,21.1,26.5,36.5,21.1,27.8,22.3,79.6,0,0,0,,14.8,9.4,0,1012.5,26,3.6,,,,
Lagos,2012-01-09,33,23,27.2,38,23,29,23.3,81.6,0,0,0,,14.8,13,0,1012.4,29.8,4.1,,,,
Lagos,2012-01-10,34.1,23,27.3,36.6,23,29.4,23.5,81.8,0,0,0,,16.6,13,3.6,1012.6,37.8,4.3,,,,
Lagos,2012-01-11,34,23,27.3,35.6,23,28.2,22.5,79,0,0,0,,13,11.2,0,1012.5,39,4,,,,
Lagos,2012-01-12,33.2,23,26.5,35.3,23,27.4,21.6,77.4,0,0,0,,16.6,14.8,0.6,1012.9,36.6,3.2,,,,
Lagos,2012-01-13,33,21.9,26,32.7,21.9,25.9,17.8,66.9,0,0,0,,20.5,18.4,0,1013.9,20.4,2.8,,,,
Lagos,2012-01-14,33,18.6,25.1,30.8,18.6,24.5,12.5,53,0,0,0,,,20.4,0,1013.3,16.6,1.6,,,,
Lagos,2012-01-15,32.2,17.7,24.6,31.1,17.7,24.2,12.4,51.4,0,0,0,,,16.6,0,1012.7,17.4,1.2,,,,
Lagos,2012-01-16,33.1,19.8,25.5,31.6,19.8,24.9,12.9,53,0,0,0,,,14.8,0,1011.9,19.1,1.4,,,,
Lagos,2012-01-17,33,19,25.4,33.9,19,25.6,18,67.4,0,0,0,,,13,0.2,1011.3,22.5,1.2,,,,
Lagos,2012-01-18,31.1,21,25.8,35.9,21,27.1,22,81.4,0,0,0,,11.2,13,0,1011.7,19.5,1.1,,,,
Lagos,2012-01-19,32.1,23,27,37.2,23,28.9,22.9,80.3,0,0,0,,18.4,14.8,0,1012,35.7,4,,,,
Lagos,2012-01-20,32.1,23,27.2,36.9,23,29.7,23.8,82.9,0,0,0,,16.6,13,0,1011.7,41.9,6.7,,,,
Lagos,2012-01-21,30,23,26.6,35.5,23,28.7,24,86.4,0,0,0,,20.5,16.6,0.1,1011.8,57,8.8,,,,
Lagos,2012-01-22,33,23,27.4,37,23,29.2,22.5,76.8,0,0,0,,14.8,18.4,3.6,1012,39.6,8.6,,,,
Lagos,2012-01-23,32,23,27.5,37.9,23,30.5,24.1,82.8,0,0,0,,18.4,13,0,1011.8,52.4,7.6,,,,
Lagos,2012-01-24,36,24.6,28.2,34.5,24.6,29.4,22.1,74.9,0,0,0,,14.8,13,5.3,1011.5,37.3,6.7,,,,
Lagos,2012-01-25,33.7,24.1,27.2,38,24.1,29.5,24.2,85,0,0,0,,20.5,16.6,5.4,1011,44.3,6.6,,,,
Lagos,2012-01-26,32.1,24,28.3,36.8,24,31.3,23.8,78.2,0,0,0,,18.4,14.8,5.4,1011,57.4,6.7,,,,
Lagos,2012-01-27,32.3,25,28.3,37.4,25,31.4,24.1,79.1,0,0,0,,16.6,16.6,0,1011.5,51.2,7.1,,,,
Lagos,2012-01-28,31,26,27.7,36.5,26,31.1,24.6,83.8,0,0,0,,13,13,0.1,1010.7,45.4,7,,,,
Lagos,2012-01-29,32,24.5,27.8,37.9,24.5,30.7,24.4,83,10.9,100,4.17,rain,16.6,14.8,0,1010.4,45.9,8.7,,,,
Lagos,2012-01-30,33.1,24.1,28.1,40.6,24.1,31.2,24.5,82.3,0,0,0,,37.1,33.5,0,1010.3,50.8,9,,,,
Lagos,2012-01-31,33.1,25,28.6,39.4,25,32.3,24.9,81.6,0,0,0,,31.7,33.5,0,1010.8,56.6,9.5,,,,
Lagos,2012-02-01,34,25.6,28.8,42.4,25.6,32.8,24.9,81.2,0,0,0,,29.5,33.5,0,1011.2,59.5,9.8,,,,
Lagos,2012-02-02,31,25.6,27.4,36.5,25.6,30.7,24.9,86.3,1,100,4.17,rain,22.3,14.8,3.5,1011.6,62.7,9.5,,,,
Lagos,2012-02-03,31.5,24,27.7,37.3,24,30.6,24.4,83.1,19.1,100,4.17,rain,18.4,14.8,3.6,1012.1,68.4,8.8,,,,
Lagos,2012-02-04,31,23,26.7,37.2,23,29.7,23.8,84.5,0,0,0,,18.4,14.8,0,1011.1,55.2,8.2,,,,
Lagos,2012-02-05,31,23,27.2,38.1,23,30,24.6,85.9,0,0,0,,14.8,22.3,1.9,1010.8,61.6,8.6,,,,
Lagos,2012-02-06,32,22.8,26.8,37.9,22.8,29.5,23.3,82.6,27.9,100,4.17,rain,18.4,14.8,0,1010.2,55.4,8.6,,,,
Lagos,2012-02-07,32,25,27.7,33.9,25,29.3,22.7,76.1,0,0,0,,18.4,14.8,2.1,1009.6,38.6,7.5,,,,
Lagos,2012-02-08,32,22.1,27,35.8,22.1,28.5,21.9,75.5,0,0,0,,31.7,29.5,0,1010.3,22,3.1,,,,
Lagos,2012-02-09,31,23.5,26.9,33.7,23.5,28.1,22.1,76.5,0,0,0,,,13,0.1,1010.8,25.4,3.5,,,,
Lagos,2012-02-10,30.3,24,27.5,34.5,24,29.5,22.6,75.5,0,0,0,,,11.2,3.6,1010.4,52.4,1.4,,,,
Lagos,2012-02-11,32,24,27.6,37,24,29.7,22.9,77.3,0,0,0,,,13.4,3.6,1010.8,18.6,1.3,,,,
Lagos,2012-02-12,32.2,24.5,28.2,36.6,24.5,30.8,23.5,77,0,0,0,,20.5,16.6,1.8,1010.7,29.5,5.6,,,,
Lagos,2012-02-13,28.1,23,26.2,31.4,23,27.6,23,82.6,0,0,0,,11.2,40.7,0,1010.7,42.9,7,,,,
Lagos,2012-02-14,32,24,27.3,37.5,24,29.9,23.8,81.9,0,0,0,,14.8,14.8,0,1011.2,48.7,9.2,,,,
