name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2015-01-01,27.8,26.6,27.4,30.4,26.6,29,21.5,70.6,0,0,0,,0,0,30.6,21.2,261.2,1011.2,17.4,,241.9,21,9,,2015-01-01T06:57:15,2015-01-01T18:42:31,0.37,Clear,Clear conditions throughout the day.,clear-day,remote
Lagos,2015-01-02,28.2,27.2,27.6,31.3,29.9,30.5,22.9,75.6,0,0,0,,0,0,25.2,13.7,236,1011.9,2.9,,235.5,20.3,8,,2015-01-02T06:57:41,2015-01-02T18:43:02,0.4,Clear,Clear conditions throughout the day.,clear-day,remote
Lagos,2015-01-03,27.8,26.7,27.3,30.9,26.7,30.1,23.3,78.9,0,0,0,,0,0,29.5,12.6,103.8,1013.1,26.7,,180.6,15.8,6,,2015-01-03T06:58:06,2015-01-03T18:43:33,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2015-01-04,27.8,25,26.5,29.5,25,26.9,18.7,63.3,0,0,0,,0,0,24.1,20.9,49.4,1013.5,30.3,,210.8,18.2,8,,2015-01-04T06:58:30,2015-01-04T18:44:03,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Lagos,2015-01-05,27.4,24.2,25.9,27.6,24.2,26,16.8,57.5,0,0,0,,0,0,24.1,17.6,37.4,1012.9,39.1,,219.5,19,8,,2015-01-05T06:58:54,2015-01-05T18:44:34,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Lagos,2015-01-06,26.7,24,25.6,26.7,24,25.6,16.5,57.3,0,0,0,,0,0,25.2,11.2,35.6,1012.3,52.2,,197.1,17,7,,2015-01-06T06:59:17,2015-01-06T18:45:04,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2015-01-07,26.7,24.9,25.9,26.7,24.9,25.9,17.1,58.6,0,0,0,,0,0,27.7,15.5,69.3,1012.1,91.1,,146.3,12.9,6,,2015-01-07T06:59:39,2015-01-07T18:45:34,0.57,Overcast,Cloudy skies throughout the day.,cloudy,remote
Lagos,2015-01-08,26.8,24.9,26.1,27.7,24.9,26.2,17.3,58.6,0,0,0,,0,0,24.1,12.6,64.6,1012.8,72.2,,204.3,17.8,8,,2015-01-08T07:00:01,2015-01-08T18:46:04,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2015-01-09,26.5,24.4,25.7,26.5,24.4,25.7,18.4,64.5,0,0,0,,0,0,27,18,60.8,1013.4,91.5,,176.1,15.3,8,,2015-01-09T07:00:22,2015-01-09T18:46:33,0.64,Overcast,Cloudy skies throughout the day.,cloudy,remote
Lagos,2015-01-10,26.8,22,24.7,27,22,24.7,16.5,61.2,0,0,0,,0,0,27,21.2,45.7,1013.7,79.6,,221,19.1,8,,2015-01-10T07:00:42,2015-01-10T18:47:02,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2015-01-11,26.5,22.8,24.8,26.5,22.8,24.8,16.3,59.7,0,0,0,,0,0,26.3,21.2,40,1014,73.9,,209.8,18.2,8,,2015-01-11T07:01:02,2015-01-11T18:47:31,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2015-01-12,27.1,22.2,24.9,27.3,22.2,25,15.8,57.9,0,0,0,,0,0,31.3,23.4,36,1012.2,16.4,,221,19.2,8,,2015-01-12T07:01:21,2015-01-12T18:47:59,0.74,Clear,Clear conditions throughout the day.,clear-day,remote
Lagos,2015-01-13,25.9,21.8,24.3,25.9,21.8,24.3,16.2,61,0,0,0,,0,0,28.4,20.9,46.4,1012,42.4,,215.2,18.6,8,,2015-01-13T07:01:39,2015-01-13T18:48:27,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Lagos,2015-01-14,26.4,23.1,25,26.4,23.1,25,16.6,60,0,0,0,,0,0,26.3,14.4,68.1,1012,5.3,,219.3,19.2,8,,2015-01-14T07:01:56,2015-01-14T18:48:54,0.8,Clear,Clear conditions throughout the day.,clear-day,remote
Lagos,2015-01-15,26.2,24,25.5,26.2,24,25.5,19,67.5,0,0,0,,0,0,26.3,13,95,1012.1,64.4,,226,19.5,8,,2015-01-15T07:02:12,2015-01-15T18:49:21,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2015-01-16,26.6,24.7,25.8,26.6,24.7,25.8,22.7,82.9,0,0,0,,0,0,29.9,10.4,185.4,1012.5,24.4,,213,18.4,8,,2015-01-16T07:02:28,2015-01-16T18:49:48,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2015-01-17,26.8,25.6,26.1,29,25.6,26.2,23,83.1,0,0,0,,0,0,34.2,11.9,233.1,1012.4,42.4,,225.7,19.6,8,,2015-01-17T07:02:42,2015-01-17T18:50:14,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Lagos,2015-01-18,26.8,25.8,26.3,29.4,25.8,26.6,23.8,86.5,0,0,0,,0,0,31.7,16.2,214.5,1012.8,27.2,,217.6,18.9,8,,2015-01-18T07:02:56,2015-01-18T18:50:40,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
Lagos,2015-01-19,27.1,26.1,26.6,30.3,26.1,27.5,24.3,87.6,0,0,0,,0,0,32,19.4,218.7,1011.7,15.4,,218.7,19.1,8,,2015-01-19T07:03:09,2015-01-19T18:51:05,0.96,Clear,Clear conditions throughout the day.,clear-day,remote
Lagos,2015-01-20,33,26,27.6,40.6,26,29.7,24.2,82.3,0,0,0,,0,0,31.3,16.6,202.3,1010.4,23.9,7.8,223.1,19.2,8,,2015-01-20T07:03:21,2015-01-20T18:51:29,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2015-01-21,32.2,25,28.3,39.2,25,31.7,24.4,80.7,0,0,0,,0,0,29.9,20.5,218.4,1011.7,46.1,6.9,225.4,19.5,8,,2015-01-21T07:03:32,2015-01-21T18:51:53,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2015-01-22,34,25.8,28.1,41.6,25.8,31.7,24.6,82,0,0,0,,0,0,31,22.3,230.3,1011.8,55.3,8.1,219.5,19,8,,2015-01-22T07:03:42,2015-01-22T18:52:16,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2015-01-23,32,25.7,28.2,39.2,25.7,32.9,25.3,84.9,0,0,0,,0,0,34.2,20.5,229.8,1011.3,58.7,7.9,151.6,13.2,5,,2015-01-23T07:03:51,2015-01-23T18:52:39,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
